algorithm,data_distribution,n,repetitions_requested,repetitions_completed,complexity,status,time_limit_seconds,total_time_seconds,average_time_seconds
Gnome Sort,sorted,100,20000,20000,quadratic,ok,60.00,0.056000000,2.800000000000e-06
Insertion Sort,sorted,1000,2000,2000,quadratic,ok,60.00,0.058000000,2.900000000000e-05
Selection Sort,sorted,1000,2000,2000,quadratic,ok,60.00,0.698000000,3.490000000000e-04
Bubble Sort,sorted,1000,2000,2000,quadratic,ok,60.00,0.717000000,3.585000000000e-04
Merge Sort,sorted,1000,2000,2000,general,ok,120.00,0.141000000,7.050000000000e-05
Quick Sort,sorted,1000,2000,674,quick,time_limit_reached,10.00,10.002000000,1.483976261128e-02
Shell Sort,sorted,1000,2000,2000,general,ok,120.00,0.426000000,2.130000000000e-04
Count Sort,sorted,1000,2000,2000,general,ok,120.00,0.006000000,3.000000000000e-06
Cocktail Shaker Sort,sorted,1000,2000,2000,quadratic,ok,60.00,0.002000000,1.000000000000e-06
Gnome Sort,sorted,1000,2000,2000,quadratic,ok,60.00,0.064000000,3.200000000000e-05
Insertion Sort,sorted,10000,50,50,quadratic,ok,60.00,0.017000000,3.400000000000e-04
Selection Sort,sorted,10000,50,50,quadratic,ok,60.00,1.765000000,3.530000000000e-02
Bubble Sort,sorted,10000,50,50,quadratic,ok,60.00,1.801000000,3.602000000000e-02
Merge Sort,sorted,10000,50,50,general,ok,120.00,0.044000000,8.800000000000e-04
Quick Sort,sorted,10000,50,7,quick,time_limit_reached,10.00,11.163000000,1.594714285714e+00
Shell Sort,sorted,10000,50,50,general,ok,120.00,0.122000000,2.440000000000e-03
Count Sort,sorted,10000,50,50,general,ok,120.00,0.001000000,2.000000000000e-05
Cocktail Shaker Sort,sorted,10000,50,50,quadratic,ok,60.00,0.001000000,2.000000000000e-05
Gnome Sort,sorted,10000,50,50,quadratic,ok,60.00,0.017000000,3.400000000000e-04
Insertion Sort,sorted,100000,10,10,quadratic,ok,60.00,0.032000000,3.200000000000e-03
Selection Sort,sorted,100000,10,10,quadratic,ok,60.00,35.998000000,3.599800000000e+00
Bubble Sort,sorted,100000,10,10,quadratic,ok,60.00,38.104000000,3.810400000000e+00
Merge Sort,sorted,100000,10,10,general,ok,120.00,0.095000000,9.500000000000e-03
Quick Sort,sorted,100000,10,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,sorted,100000,10,10,general,ok,120.00,0.255000000,2.550000000000e-02
Count Sort,sorted,100000,10,10,general,ok,120.00,0.002000000,2.000000000000e-04
Cocktail Shaker Sort,sorted,100000,10,10,quadratic,ok,60.00,0.000000000,0.000000000000e+00
Gnome Sort,sorted,100000,10,10,quadratic,ok,60.00,0.033000000,3.300000000000e-03
Insertion Sort,sorted,1000000,1,1,quadratic,ok,60.00,0.033000000,3.300000000000e-02
Selection Sort,sorted,1000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Bubble Sort,sorted,1000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Merge Sort,sorted,1000000,1,1,general,ok,120.00,0.188000000,1.880000000000e-01
Quick Sort,sorted,1000000,1,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,sorted,1000000,1,1,general,ok,120.00,0.378000000,3.780000000000e-01
